,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,ZrO2,V2O5,换算系数,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Zn,Li,Zr,V,Fe_projected,Mg_projected,Ca_projected
14,55.16,0.0,0.0,0.0,0.12,0.0,18.8,25.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173569715868573,1.9954746854736027,0.0,0.0,0.0,0.003630482237963209,0.0,1.0138723366993143,0.9883914573648483,0.006312705501336675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018099070727974845,0.5054465475460611,0.49274354538114146
15,55.2,0.0,0.0,0.0,1.51,0.0,17.91,25.15,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178329027556988,2.001294248308935,0.0,0.0,0.0,0.045783598235218693,0.0,0.9679900973487905,0.9769598060355982,0.013356003525044053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02299835623300175,0.4862479566256657,0.49075368714133255
16,54.65,0.0,0.0,0.0,3.15,0.0,16.91,24.02,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2043685323966375,2.0050387013876843,0.0,0.0,0.0,0.096650532780043,0.0,0.924867801777172,0.9442183452782286,0.04837183477837628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04916758880855489,0.4704942484232399,0.4803381627682052
17,59.86,1e-07,0.06,1e-07,0.06,1e-07,39.75,0.03,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.012094737815223,2.004626783043777,2.5193698589059324e-09,0.0023681221720282344,2.647684684832748e-09,0.0016803864521590306,2.8364531031975173e-09,1.9844374213019826,0.0010764278070234978,6.4930368937354916e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008456075516364937,0.9986127102173261,0.0005416822310374328
18,59.61,1e-07,0.01,1e-07,1.83,0.01,38.85,1e-07,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0174262864015504,2.001544212712355,2.5260455598842427e-09,0.0003957328507344227,2.6547003880564385e-09,0.051387591227031314,0.00028439689955898196,1.9446459712857342,3.5976002396732172e-09,6.510241820035014e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025744853242708424,0.9742551449549169,1.802374619723352e-09
19,58.19,1e-07,0.02,1e-07,6.69,1e-07,35.5,0.01,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060667230260201,1.9957429910097881,2.5801881052528655e-09,0.0008084297532381452,2.711600484587965e-09,0.19188608332554907,2.9049258218703937e-09,1.8150478035489563,0.0003674710184675002,6.6497805000571205e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09559405844619581,0.9042228743641056,0.00018306718969852525
20,56.5,1e-07,0.03,1e-07,13.6,1e-07,29.94,0.02,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1321019325915036,2.004955797670222,2.669632420448887e-09,0.0012546819403435716,2.805600316590679e-09,0.40360484220316867,3.0056274336263214e-09,1.5838411041531764,0.0007604193992515661,6.880300539204877e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20299947186306436,0.7966180631109963,0.00038246502593938575
21,55.73,1e-07,1e-07,1e-07,15.65,1e-07,28.68,0.03,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1543518271734423,1.9982695159758324,2.6974918013816345e-09,4.225917922250007e-09,2.834878612496223e-09,0.469289099928517,3.0369931448657855e-09,1.5330193133022607,0.001152532318333778,6.952101028360334e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23423920539658613,0.7651855239344776,0.0005752706689362943
22,55.29,1e-07,0.01,1e-07,18.23,0.03,26.61,0.03,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177318947491614,2.0036277250938093,2.7262492299400417e-09,0.0004270969600509252,2.865100694776088e-09,0.5524821058511794,0.0009208109791046763,1.4375361550404884,0.0011648192382750222,7.026216007524126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27746424292392285,0.7219507685584974,0.0005849885175797131
23,51.72,1e-07,0.02,1e-07,31.07,1e-07,17.16,0.02,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.324867231647401,2.001267134144493,2.9109963458929457e-09,0.0009120792599564142,3.0592572247299487e-09,1.005423207049785,3.277368977610275e-09,0.9898452187145047,0.0008291696173644813,7.502354846628268e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5036944132270986,0.4958901914438938,0.0004153953290074195
