,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
0,1,47.604,2.858,5.749,0.062,7.024,0.087,12.625,22.916,0.328,0.207900292077079,0.061749555405654,0,7
1,1,51.788,1.166,2.557,0.475,6.801,0.145,14.762,21.743,0.327,0.0800708661043401,0.0148807369222512,1,6
2,1,46.561,3.109,6.139,0.145,6.914,0.037,12.478,23.112,0.62,0.238983797506194,0.0232039674234497,0,7
3,1,46.344,3.17,7.776,0.014,6.842,0.068,11.688,23.067,0.574,0.258930650458852,0.0497025259648673,0,7
4,1,50.18,1.965,3.294,0.106,5.729,0.063,13.603,23.626,0.54,0.121500446516895,0.0193327172802879,0,0
5,-1,51.292,0.982,3.573,0.602,7.121,0.109,16.064,19.349,0.312,0.101794768210219,0.0120894620189402,1,2
6,1,47.871,2.556,4.503,0.012,6.987,0.06,12.611,23.633,0.51,0.183700331381058,0.0345492423752281,0,1
7,1,52.855,1.035,1.523,0.947,3.673,0.069,15.87,23.198,0.371,0.0558831485266056,0.00359747848363605,1,5
8,1,48.455,1.851,5.684,0.408,6.668,0.071,14.514,21.551,0.259,0.19240674966535,0.0149788434414669,0,4
9,1,53.58,0.66,1.77,0.24,5.12,0.062,16.64,21.89,0.22,0.0448863729404434,0.055,1,5
10,1,50.709,1.203,4.273,0.369,6.962,0.142,14.816,20.906,0.485,0.123791522354567,0.00986642329710445,1,6
11,1,53.33,1.047,0.855,0.626,3.608,0.04,16.537,22.94,0.316,0.0380050607673379,0.00415803777219718,1,5
12,1,49.312,2.103,3.267,0.01,6.186,0.015,13.63,23.589,0.451,0.136911355802991,0.0349838807173081,0,1
13,1,49.809,1.429,4.46,0.522,6.899,0.107,13.286,22.187,0.434,0.134167100424055,0.0244231311706629,0,4
14,1,48.103,2.432,4.199,0.044,7.117,0.112,12.886,23.852,0.465,0.180444175167934,0.0358741644692463,0,1
15,1,51.221,1.088,3.3,0.052,7.94,0.17,15.062,20.564,0.45,0.0994459986869389,0.0163061391136516,1,6
16,1,51.618,1.074,3.038,0.403,6.793,0.151,14.749,21.366,0.359,0.0854421543753947,0.0203936402102834,1,6
17,1,52.413,0.832,3.546,0.488,6.573,0.119,15.366,20.905,0.431,0.0853184107236407,0.0267687866959688,1,3
18,1,51.439,1.661,2.02,0.058,5.928,0.071,14.033,23.458,0.591,0.0789974093524894,0.0185861355337912,1,0
19,1,51.515,1.692,2.146,0.015,6.03,0.09,14.015,23.876,0.52,0.0860515017626031,0.0355675476789109,1,0
20,1,52.631,0.883,2.269,0.413,6.584,0.152,14.855,22.209,0.351,0.0628358436784759,0.0202738978115474,1,3
21,1,50.726,0.982,3.943,0.546,7.854,0.178,16.214,19.001,0.412,0.12348839246492,0.0149435825105783,1,2
22,1,50.884,1.66,2.687,0.026,6.171,0.102,14.052,23.353,0.602,0.102708644305006,0.0184238363892807,1,0
23,-1,50.572,1.289,3.65,0.077,8.147,0.119,14.141,21.337,0.428,0.114804395480926,0.00378923436414542,1,6
24,-1,48.264,2.396,6.386,0.139,6.942,0.073,13.249,22.712,0.364,0.211438322178843,0.0461680068873299,0,7
25,1,51.479,1.075,2.968,0.087,7.103,0.143,14.631,20.991,0.41,0.0778379747816387,0.0125435661914698,1,6
26,1,48.627,2.463,4.205,0.001,6.75,0.082,12.91,23.965,0.524,0.171445803035699,0.0277574047954866,0,1
27,1,49.43849,2.29371,4.60055,0.00909,7.06697,0.11312,12.72802,22.84418,0.48884,0.150801424040162,0.0180825286608079,0,1
28,-1,51.184,1.092,3.365,0.19,6.826,0.131,15.742,20.689,0.424,0.105371946438641,1e-07,1,6
29,1,49.911,1.526,4.252,0.689,6.991,0.117,13.69,21.57,0.409,0.13195180718128,0.0190900161192827,0,4
30,1,51.612,1.754,2.707,0.027,5.711,0.098,14.079,23.627,0.565,0.093440869150593,0.0185119887165021,1,0
31,1,49.217,2.06,3.618,0.027,6.541,0.045,13.439,24.078,0.375,0.150447986019296,0.0232722143864598,0,1
32,-1,52.041,1.124,3.196,0.113,7.095,0.075,14.441,21.564,0.356,0.07944583346899,0.0039799466547501,1,6
33,1,51.683,0.922,3.592,0.347,7.575,0.178,15.909,19.31,0.255,0.0934716808099165,0.00865791472279484,1,2
34,1,51.813,0.7,4.08,0.669,4.385,0.044,15.706,23.005,0.228,0.112521525232489,0.0475028027919424,1,5
35,-1,50.696,1.894,3.66,0.001,7.479,0.143,14.02,22.157,0.482,0.124590715650468,0.00265904535669215,1,4
36,1,49.274,2.362,4.086,0.014,6.734,0.088,13.204,23.776,0.556,0.160755359548526,0.0246300233669452,0,1
37,1,50.907,1.138,3.717,0.251,7.114,0.138,14.719,20.811,0.457,0.104845562657201,0.0126199898667616,1,6
38,1,48.416,2.629,5.754,0.12,7.026,0.131,12.73,23.014,0.384,0.196701838615925,0.042694628777544,0,1
39,1,51.027,1.365,3.0,0.35,7.026,0.124,14.191,22.093,0.37,0.0985064213846829,0.0163573602553634,1,6
40,-1,51.09,0.867,3.594,0.639,7.457,0.109,15.94,19.172,0.322,0.10322397180178,0.00654326552571503,1,2
41,-1,51.879,0.968,4.318,0.391,6.418,0.116,15.717,19.655,0.487,0.0994548595376084,1e-07,1,6
42,1,48.688,2.497,4.333,0.001,6.843,0.048,12.776,24.097,0.575,0.17391060224055,0.0194224143910842,0,1
43,1,51.276,1.018,3.723,0.232,7.013,0.115,15.242,20.547,0.395,0.101960924882799,0.0223848865730148,1,6
44,-1,49.286,1.952,5.211,0.43,6.501,0.078,13.695,22.378,0.46,0.169778409289605,0.00346497414198401,0,4
45,1,48.39,2.449,4.525,0.042,6.597,0.08,12.926,23.825,0.454,0.17795495151036,0.0172121154167962,0,1
46,1,51.18,1.315,3.375,0.054,7.726,0.129,14.479,21.172,0.423,0.0999831414350172,0.0139784404593996,1,6
47,1,49.187,1.897,5.375,0.796,6.89,0.073,13.634,21.563,0.315,0.16959864363521,0.0360541272745046,0,4
48,-1,51.39,0.722,4.331,0.253,7.805,0.083,16.221,17.641,0.593,0.0979195621225386,0.00734003051149938,1,2
49,-1,51.462,1.29,3.918,0.392,6.506,0.104,14.166,21.914,0.415,0.104143205299239,0.00325743837732554,1,6
50,-1,49.333,2.014,4.421,0.001,7.369,0.106,13.638,22.194,0.385,0.15311322367262,0.00476022566995769,0,1
51,1,51.807,0.7,2.556,0.453,7.203,0.046,16.948,19.252,0.181,0.0794592696965601,0.0133698600412282,1,2
52,-1,49.357,1.568,4.495,1.136,5.619,0.106,14.326,21.984,0.364,0.154722605582782,0.00600169252468265,0,4
53,-1,48.417,1.889,5.427,0.145,6.548,0.11,14.387,22.119,0.393,0.190599803191436,0.0231667901795319,0,4
54,1,51.011,1.322,3.353,0.371,6.96,0.142,14.248,22.291,0.393,0.10902196128032,0.0257412065781629,1,6
55,-1,51.19,0.953,4.503,0.551,6.098,0.147,14.726,20.396,0.487,0.104352194206562,1e-07,1,6
56,1,51.17,1.883,2.556,0.035,6.019,0.06,13.779,23.598,0.638,0.0963000089584389,0.0145907300228588,1,0
57,1,52.696,0.554,2.818,0.12,7.911,0.17,17.005,17.958,0.306,0.060742801882973,0.0024144922425952,1,2
58,1,51.924,0.838,2.501,0.364,7.086,0.072,14.98,21.473,0.3,0.0723976783954123,0.0235220632681846,1,6
59,-1,51.491,0.841,2.698,0.627,5.749,0.156,15.455,21.858,0.402,0.0877704067447946,1e-07,1,6
60,1,51.094,1.219,3.272,0.839,6.488,0.131,14.29,22.329,0.339,0.106602246194397,0.0345626946333561,1,6
61,1,51.961,0.848,2.403,0.447,6.227,0.134,16.981,20.698,0.283,0.0880278332684936,0.00578494600501728,1,3
62,1,49.22,1.688,5.543,0.283,6.775,0.06,14.378,21.246,0.318,0.169504972445242,0.00604462768073487,0,4
63,1,50.457,1.323,4.098,0.371,6.461,0.118,14.442,22.209,0.388,0.129268449640859,0.0224788434414669,1,4
64,-1,50.739,0.97,3.88,0.618,6.874,0.11,15.564,19.954,0.333,0.112472585877373,0.00523876687487407,1,6
65,1,52.947,0.57,3.317,0.584,4.427,0.06,16.275,21.675,0.24,0.0723839547202194,0.0335201544057605,1,5
66,-1,48.906,1.534,5.126,0.446,6.369,0.139,13.883,22.056,0.5,0.165863632379908,0.00326587388879543,0,4
67,1,51.184,1.251,2.857,0.07,7.468,0.165,13.889,21.788,0.44,0.0837364241328686,0.0163698871650212,1,6
68,1,49.5304,2.04424,4.11979,0.10706,7.3427,0.06767,13.20474,22.54724,0.40501,0.142397692963449,0.0269746121297602,0,1
69,-1,48.566,1.679,5.93,0.099,7.889,0.065,13.412,21.625,0.557,0.185704800448896,0.00213997373668596,0,1
70,1,52.303,1.363,1.73,0.005,5.451,0.1,14.402,23.59,0.581,0.0589497824101639,0.0165285613540197,1,0
71,1,49.784,1.173,4.729,0.737,5.647,0.046,14.856,21.884,0.242,0.146464914436344,0.00563218665582941,0,4
72,1,51.782,1.128,2.501,0.211,6.68,0.102,16.03,20.946,0.334,0.0852853603090773,0.00395169615983017,1,3
73,1,48.34,2.5,4.374,0.05,6.119,0.13,13.143,23.31,0.557,0.171186651871001,0.020236708162139,0,1
74,1,51.472,1.735,2.067,0.018,6.153,0.042,13.951,23.713,0.644,0.0848547012462033,0.0210934046270762,1,0
75,1,52.565,1.619,1.113,0.524,4.361,0.046,15.421,23.219,0.379,0.0542651528928937,0.00504345909732017,1,5
76,1,49.858,1.371,3.185,0.141,8.532,0.129,14.513,21.444,0.361,0.128073725942146,0.0249418671139405,1,6
77,1,47.439,2.065,6.0,0.553,6.605,0.057,14.031,21.542,0.352,0.211586402290303,0.0048953277878347,0,7
78,-1,49.146,1.682,5.114,0.311,7.941,0.103,14.134,20.28,0.4,0.158981095544615,0.0160789844851904,0,4
79,1,50.242,1.246,5.161,0.481,5.693,0.071,14.13,22.267,0.561,0.143107036896142,0.0404795486600846,0,4
80,1,50.199,1.286,4.256,0.969,6.392,0.062,15.563,20.78,0.398,0.143660449354544,0.00600352094550771,1,4
81,1,49.581,1.375,4.827,0.741,5.954,0.058,14.665,22.15,0.376,0.159422402558064,0.0016279644627979,0,4
82,1,49.964,1.196,3.999,0.733,5.527,0.04,15.221,21.867,0.279,0.134621151432125,0.00633093986408514,1,4
83,1,50.117,1.383,4.586,0.196,6.371,0.118,14.827,21.506,0.217,0.13732006371502,0.00307616361071932,0,4
84,1,50.051,1.75,3.757,0.314,6.711,0.079,13.891,22.926,0.311,0.134756709384844,0.028975286686699,0,4
85,1,49.665,2.049,4.016,0.16,7.279,0.147,13.061,22.6,0.479,0.138767385862056,0.0358034067483997,0,1
86,1,49.52,1.774,5.154,0.118,7.537,0.167,13.535,21.408,0.564,0.155250033470726,0.00962384805455105,0,4
87,1,52.125,0.922,2.354,0.577,5.726,0.034,16.606,21.334,0.329,0.083991922578861,0.00272766928881974,1,3
88,1,47.091,2.985,5.425,0.024,6.572,0.054,12.723,23.463,0.57,0.217388593646595,0.025555446941027,0,7
89,-1,47.265,2.385,6.118,0.004,6.956,0.119,13.098,23.015,0.415,0.221600843485076,0.0262808587226457,0,7
90,1,52.047,1.126,2.28,0.206,7.146,0.148,14.828,22.125,0.379,0.0768141585510647,0.0198507666408845,1,6
91,1,50.116,2.11,2.988,0.07,5.882,0.079,13.669,23.71,0.608,0.122248767340161,0.0258580159849553,0,0
92,1,48.881,1.68,6.053,0.054,6.414,0.111,13.095,23.058,0.485,0.180994009513544,0.0619779131530775,0,1
93,1,50.895,1.345,2.727,0.231,7.02,0.072,15.007,21.526,0.28,0.0985453208324065,0.0351632581100141,1,6
94,1,50.255,0.928,4.728,0.406,7.432,0.115,15.92,18.981,0.372,0.13299529077913,0.00240375840039824,1,2
95,1,51.347,0.762,2.906,0.446,7.457,0.149,15.859,20.09,0.201,0.0891559311295178,0.0046449846511242,1,2
96,-1,51.452,1.192,3.357,0.091,7.514,0.117,14.748,21.434,0.377,0.0999201797030134,0.00497011216334206,1,6
97,1,51.602,0.959,2.493,0.462,5.808,0.079,16.425,21.333,0.28,0.0904328432384243,0.00123522764106562,1,3
98,1,48.975,1.96,5.642,0.298,6.513,0.1,14.368,21.688,0.435,0.184229033298024,0.00426635893490618,0,4
99,-1,47.411,2.021,5.912,0.154,6.66,0.102,13.465,22.989,0.417,0.214369405520512,0.0363366751801167,0,7
100,-1,50.896,1.027,3.208,0.224,6.406,0.12,15.414,21.603,0.365,0.105873484102431,0.00326683436813866,1,6
101,1,52.62,1.374,1.019,0.027,7.275,0.11,13.9,22.63,0.859,0.0406632682639878,0.0102820874471086,1,0
102,1,49.048,2.005,4.085,0.062,7.527,0.083,13.107,21.998,0.315,0.139844145912022,0.0398241101800382,0,1
103,-1,50.991,1.184,4.064,0.699,8.069,0.153,16.771,17.741,0.287,0.122824944290591,0.011316298750287,1,2
104,1,48.576,2.86,6.25,0.085,6.535,0.116,12.326,22.335,0.525,0.190003374495438,0.0214642902936274,0,7
105,1,51.013,1.55,2.401,0.258,7.462,0.147,13.689,21.939,0.595,0.084204498058722,0.0367791658271207,1,6
106,1,49.636,1.853,3.948,0.04,7.832,0.123,13.782,22.106,0.493,0.144072598239827,0.00404037376586742,0,4
107,-1,50.026,1.88,3.59,0.121,7.442,0.163,14.182,21.711,0.368,0.129830592978224,0.00439067279687872,0,4
108,1,51.957,0.751,2.958,0.806,6.246,0.089,14.466,21.998,0.375,0.0762538925266258,0.0193263887708804,1,6
109,1,49.51,2.261,3.515,0.001,6.297,0.115,13.384,24.089,0.483,0.146390435009431,0.0553629569091652,0,1
110,-1,52.855,0.469,2.114,0.452,7.48,0.102,16.241,18.658,0.269,0.0368183938511397,0.00503727584122507,1,2
111,1,49.202,2.247,4.623,0.001,7.11,0.065,12.879,22.971,0.511,0.158133025195044,0.0257368444011458,0,1
112,1,50.481,1.637,3.36,0.136,7.038,0.134,14.165,22.48,0.432,0.120404403569182,0.00480002014910337,1,4
113,1,47.733,2.639,5.154,0.105,7.622,0.097,12.929,22.608,0.465,0.199619414259133,0.0388448287821684,0,1
114,1,49.127,1.988,4.427,0.499,5.38,0.069,14.086,23.109,0.594,0.164409122456456,0.0331574339769466,0,4
115,1,51.734,0.883,2.176,0.34,8.02,0.116,15.369,20.531,0.27,0.0725111558170961,0.024851904090268,1,3
116,1,51.726,1.612,2.484,0.023,5.568,0.074,14.128,24.15,0.48,0.0893818245950109,0.0145668107933131,1,0
117,1,49.412,1.985,3.788,0.18,6.398,0.079,12.822,23.932,0.477,0.139960565616997,0.0674556938737965,0,1
118,1,52.079,1.06,2.784,0.379,6.726,0.075,14.149,21.933,0.664,0.0726441767518271,0.0284851904090268,1,6
119,1,49.843,1.649,5.036,0.515,7.054,0.101,13.819,21.664,0.398,0.15253448028627,0.0277846060850292,0,4
120,-1,51.124,1.358,3.602,0.023,7.885,0.101,14.004,21.361,0.409,0.101057121837116,0.00438802695502272,1,6
121,1,52.165,0.765,2.087,0.178,8.037,0.133,15.71,20.359,0.228,0.0642718391466788,0.0273984257700532,1,3
122,1,49.363,1.501,5.205,0.23,7.271,0.138,13.986,21.094,0.438,0.155251777713866,0.0137062362750174,0,4
123,-1,50.902,0.356,2.901,1.15,4.528,0.1,16.688,22.083,0.21955,0.106373361373363,0.0188921093011361,1,5
124,1,52.061,0.864,2.427,0.41,5.787,0.044,16.539,21.09,0.302,0.0791402912549735,0.00304735039290752,1,3
125,1,47.621,2.594,4.78,0.013,7.07,0.038,12.467,24.105,0.537,0.19720015248941,0.0130194206357817,0,1
126,1,51.876,1.665,2.247,0.012,5.775,0.082,14.177,24.129,0.509,0.0860989349691705,0.0282087447108604,1,0
127,1,49.743,1.929,3.686,0.157,6.21,0.004,13.469,23.918,0.428,0.139602847866156,0.0445401232276743,0,1
128,1,48.729,2.566,4.451,0.001,6.737,0.08,12.956,24.142,0.536,0.179826819301241,0.0214923769225603,0,1
129,-1,50.323,0.578,4.192,1.284,4.044,0.108,16.103,22.884,0.21955,0.141280753903563,0.0240980848641392,1,5
130,1,50.685,1.092,3.693,0.947,6.501,0.116,14.185,21.902,0.372,0.113494503801252,0.0183118935544718,1,4
131,-1,51.706,0.929,3.813,0.692,7.276,0.075,15.567,20.065,0.313,0.10338369790024,0.00550650153602411,1,6
132,1,50.718,1.704,3.333,0.04,7.058,0.083,13.619,22.56,0.59,0.109384603158196,0.0302209685002351,1,4
133,1,52.136,1.637,1.382,0.014,6.759,0.088,13.909,22.902,0.793,0.0565660692124437,0.00964739069111424,1,0
134,-1,51.306,1.12,3.231,0.2,6.59,0.146,15.376,21.835,0.395,0.106928215662505,1e-07,1,6
135,1,50.257,1.434,5.206,1.716,4.754,0.099,12.55,22.326,1.106,0.135789199436136,0.0277463062729774,0,4
136,1,47.803,2.522,4.056,0.001,6.788,0.059,12.915,25.348,0.51,0.198592218756934,0.0189461718207271,0,1
137,1,48.15,2.648,4.276,0.053,6.959,0.12,13.014,24.098,0.466,0.188655015974782,0.0324593774755106,0,1
138,-1,49.815,1.345,3.71,0.119,7.118,0.169,14.922,21.982,0.341,0.138671347733384,1e-07,1,4
139,1,51.92,0.98,2.156,0.246,7.341,0.179,14.746,21.497,0.324,0.0657337056098701,0.0176945762277215,1,6
140,1,50.783,1.138,3.948,0.328,7.719,0.12,15.133,19.76,0.368,0.11084857340309,0.0045492823363478,1,6
141,1,51.022,0.751,4.194,0.863,5.882,0.047,13.805,22.136,0.956,0.108018181836231,0.0282087447108604,1,4
142,1,52.039,0.89,3.005,0.111,7.786,0.097,14.96,20.814,0.359,0.0778853677891418,0.00991713681241185,1,6
143,1,51.866,0.878,2.66,0.317,5.899,0.136,16.39,20.728,0.211,0.0793201450538514,0.00622362083189185,1,3
144,1,49.926,1.408,4.964,0.516,7.388,0.192,14.174,21.438,0.473,0.153898660418766,0.0149310840816099,0,4
145,1,50.323,1.378,3.522,0.025,8.213,0.091,14.088,21.132,0.489,0.113295780421991,0.0146191819464034,1,6
146,-1,50.851,1.418,4.964,0.126,7.392,0.178,14.388,20.781,0.542,0.13263774416244,0.00129285805872548,1,4
147,1,51.249,1.113,2.998,0.208,7.287,0.144,15.046,21.659,0.326,0.100766593209527,0.012592988112029,1,6
148,1,50.645,1.259,3.425,0.036,8.3,0.131,14.186,20.894,0.39,0.103768879015604,0.0130785998204898,1,6
149,1,53.87,0.59,1.59,0.33,4.95,0.084,16.78,21.71,0.19,0.0354708063568436,0.05,1,5
150,1,52.091,0.801,2.278,0.514,5.79,0.079,16.754,21.37,0.311,0.0837667978934189,0.00534295534528325,1,3
151,1,48.219,2.507,5.322,0.005,7.307,0.072,12.668,22.866,0.434,0.187600765953858,0.0319928446110977,0,1
152,1,52.033,1.169,2.183,0.055,8.071,0.176,13.968,22.177,0.361,0.068547897222853,0.0193610106089409,1,6
153,1,50.497,1.143,4.056,0.632,5.583,0.017,15.435,21.99,0.344,0.132252976586914,0.00587220662258511,1,4
154,1,51.067,1.489,3.19,0.162,6.844,0.108,14.155,22.726,0.327,0.106176358674128,0.0181636795211394,1,0
155,-1,48.314,2.168,6.002,0.443,7.195,0.149,13.286,22.0,0.446,0.1993229279458,0.000698371835074698,0,1
156,1,50.343,1.383,3.8,0.511,5.476,0.09,13.482,23.383,0.728,0.11992374917278,0.0209550674994963,0,4
157,1,50.211,1.109,4.503,0.492,6.064,0.079,14.736,21.517,0.302,0.130158407155488,0.0315490728955244,1,4
158,1,48.296,1.728,5.993,1.089,6.002,0.068,13.117,22.856,0.522,0.196851886869061,0.0256359126501629,0,1
159,1,48.426,2.477,5.503,0.06,6.896,0.08,12.581,22.921,0.445,0.183570403433105,0.0237238712540213,0,1
160,1,51.352,0.984,3.015,0.192,7.411,0.082,14.84,21.23,0.306,0.0883221469110442,0.0151884924047709,1,6
161,-1,52.267,0.682,2.592,0.503,7.04,0.135,17.121,18.891,0.294,0.074047147709174,0.00262916455557534,1,2
162,1,49.885,2.17,3.94,0.001,7.028,0.001,12.979,22.982,0.471,0.132965500960316,0.0191233308299599,0,1
163,1,48.412,1.669,6.044,0.094,7.606,0.032,13.875,21.635,0.338,0.192545408140476,0.00478284130149312,0,1
164,-1,47.63,2.264,6.169,0.351,7.261,0.167,12.878,21.903,0.516,0.206749778036768,0.00330492452660325,0,7
165,1,47.477,1.91,8.29167,0.22067,7.514,0.13867,13.76267,19.32633,0.70967,0.231689896842738,0.0139230304251461,0,7
166,-1,51.868,0.919,2.96,0.102,6.588,0.104,14.829,21.399,0.342,0.0725089890708579,0.00195894060492086,1,6
167,-1,51.652,0.944,2.623,0.564,5.869,0.101,15.443,21.787,0.402,0.0846482621950739,1e-07,1,6
168,1,52.18,1.446,1.1,0.04,7.242,0.124,13.376,22.617,0.772,0.0390398453978438,0.00926657263751763,1,0
169,1,51.538,0.692,2.713,0.163,6.603,0.075,15.164,21.864,0.355,0.080136132146958,0.010924477497115,1,6
170,1,53.94,0.55,1.43,0.24,4.75,0.068,17.1,21.91,0.21,0.0352403613537464,0.03,1,5
171,1,51.436,1.073,3.101,0.176,7.314,0.119,15.814,20.706,0.313,0.100297566738645,0.00170741263124902,1,6
172,1,49.214,1.798,5.282,0.144,7.216,0.12,13.497,21.283,0.496,0.156933103771329,0.0120002774630627,0,4
173,-1,51.302,0.869,3.868,0.422,8.472,0.134,16.52,17.357,0.276,0.0993906363661716,0.00979882711008834,1,2
174,1,51.301,1.111,3.359,0.955,6.463,0.074,14.3,22.03,0.342,0.101348601715578,0.019990697116106,1,6
175,1,50.538,1.731,3.447,0.128,7.679,0.148,13.325,22.28,0.452,0.113006830876919,0.00386056820471489,0,4
176,1,51.612,0.561,3.918,0.306,4.245,0.033,15.58,22.674,0.237,0.0967603647000008,0.0357776638030517,1,5
177,1,47.129,2.991,6.205,0.001,6.874,0.071,11.814,23.595,0.629,0.222054317516943,0.0156374563071074,0,7
178,1,51.134,1.857,2.962,0.003,5.957,0.12,13.994,23.869,0.575,0.110841700806252,0.0286427253987198,1,0
179,1,51.638,1.136,2.142,0.184,6.862,0.142,14.669,21.914,0.34,0.0702561067668701,0.0160233093311558,1,6
180,1,52.347,0.731,2.24,0.791,6.3,0.107,16.243,21.455,0.228,0.0790447260854676,0.0205003986018274,1,3
181,-1,51.413,0.991,3.841,0.038,8.272,0.119,14.641,19.926,0.423,0.0933672151500577,0.00764162263435994,1,2
182,1,52.952,0.725,2.106,0.647,5.512,0.107,16.069,21.438,0.298,0.0559822594863653,0.0160865791472279,1,3
183,1,48.687,2.455,5.226,0.053,7.199,0.032,12.777,22.761,0.618,0.179345389041956,0.0299549273318207,0,1
184,1,48.915,1.965,3.833,0.091,6.74,0.082,13.253,23.577,0.49,0.152836190551697,0.0170737139039418,0,1
185,1,50.522,1.061,3.401,0.095,7.643,0.101,14.578,20.915,0.462,0.103575730925298,0.0130785998204898,1,6
186,1,52.579,0.442,3.0,0.897,3.713,0.04,16.198,22.68,0.221,0.0767615339845007,0.0324631783393836,1,5
187,1,48.157,2.146,5.097,0.282,7.276,0.135,13.431,22.138,0.36,0.18500219599632,0.0335872120357311,0,1
188,1,50.389,1.039,3.531,0.678,6.773,0.109,15.278,20.604,0.293,0.113673452164615,0.00811367079350154,1,6
189,-1,49.396,1.825,4.814,0.113,7.883,0.114,13.319,21.532,0.391,0.149748053170913,0.00410178175642613,0,1
190,1,51.571,0.974,2.929,0.83,6.302,0.117,14.463,21.991,0.329,0.0849928349235296,0.0286849962449398,1,6
191,1,48.039,2.348,4.621,0.014,7.172,0.059,12.558,23.978,0.402,0.18315184310028,0.0267983074753173,0,1
192,-1,49.677,1.691,4.999,0.145,7.17,0.053,13.651,21.959,0.47,0.15196147569881,0.00650971031789086,0,4
193,1,53.86,1.022,0.723,0.039,6.141,0.133,14.097,22.917,0.845,0.00829974956615143,0.0151395556475719,1,0
194,1,49.876,1.305,3.751,0.249,8.128,0.116,14.264,21.469,0.346,0.131514279650855,0.0217293336544085,0,4
195,1,51.516,0.938,3.12,0.437,7.009,0.052,15.716,20.912,0.255,0.0974207298145326,0.00230315110259031,1,6
196,1,53.902,0.588,0.338,0.012,6.286,0.109,14.636,23.003,0.685,0.000864732995938589,0.00288868395356407,1,0
197,1,47.611,2.516,5.518,0.05,7.252,0.044,12.661,22.983,0.375,0.200911866508341,0.0306094889415719,0,7
198,1,51.937,0.896,2.202,0.676,7.194,0.163,16.448,19.613,0.232,0.0750057557779358,0.0189909732016925,1,3
199,1,48.545,2.258,4.027,0.18,6.188,0.042,13.529,23.413,0.498,0.165590344493607,0.0276662688510361,0,1
200,1,45.577,3.67,8.275,0.075,6.817,0.075,11.592,22.79,0.415,0.283431937427963,0.0436285030968296,0,7
201,1,50.78,1.848,3.542,0.064,7.016,0.11,13.545,22.79,0.602,0.117266179012929,0.061089562764457,0,4
202,1,51.344,0.945,2.866,0.494,7.074,0.145,16.408,20.228,0.287,0.100828313130914,0.00564895555578434,1,3
203,1,51.387,1.821,2.566,0.013,5.731,0.064,14.134,23.492,0.601,0.0936220850729887,0.0273111937427875,1,0
204,1,51.51,1.069,3.389,0.108,7.532,0.109,14.897,20.727,0.417,0.0916971817938506,0.0123406411327317,1,6
205,1,53.297,0.966,0.489,0.028,7.168,0.101,13.984,22.281,0.874,0.0091458699021485,0.00304125528913963,1,0
206,1,50.951,1.139,3.344,0.477,6.346,0.13,14.677,22.461,0.317,0.110336877847846,0.0227718157846324,1,6
207,1,51.807,1.025,3.025,0.34,7.093,0.127,14.899,21.34,0.337,0.0853174009279265,0.00215471411522187,1,6
208,1,51.696,1.436,1.653,0.064,6.505,0.081,13.463,23.434,0.647,0.0599088443898699,0.0260388412715634,1,0
209,1,49.896,1.802,3.353,0.027,7.432,0.077,13.835,22.867,0.386,0.131687335449456,0.0414834481042064,0,4
210,1,49.431,1.679,4.08,0.189,7.496,0.161,14.395,22.023,0.307,0.153559237992188,0.0240544503006458,0,4
211,1,51.555,1.714,2.58,0.001,5.859,0.034,13.841,23.832,0.552,0.0896247031482609,0.0180350990774353,1,0
212,1,51.512,0.987,2.95,0.705,5.026,0.078,14.662,23.406,0.57,0.0960743908102033,0.023216046531947,1,0
213,1,51.453,1.038,3.126,0.118,7.688,0.201,14.996,20.622,0.433,0.0902997535603585,0.00320370743501914,1,6
214,-1,49.859,1.698,4.488,0.207,7.041,0.137,13.816,21.546,0.431,0.137078495192298,0.00500605892051888,0,4
215,1,47.82,2.502,5.808,0.001,7.215,0.083,12.457,22.671,0.496,0.197454398816693,0.0261767588630442,0,7
216,1,47.223,2.698,5.606,0.01,7.286,0.09,12.715,23.135,0.24,0.213221857711556,0.0157110443367879,0,7
217,1,45.555,3.537,8.22,0.148,6.901,0.104,11.751,23.023,0.536,0.28875561254284,0.060205520854322,0,7
218,-1,50.836,1.388,3.288,0.451,6.437,0.078,14.624,22.045,0.441,0.110978344501787,0.00288113860751378,1,6
219,1,51.119,1.11,3.487,0.115,7.846,0.144,14.55,20.936,0.408,0.0999431752208071,0.0176830936993453,1,6
220,1,50.144,2.332,4.033,0.001,7.31,0.104,13.135,22.772,0.424,0.137610694365387,0.0268864598025388,0,1
221,1,48.125,2.708,4.513,0.001,7.109,0.107,13.125,22.955,0.332,0.182296116202546,0.038994441217954,0,1
222,1,53.16,0.28,1.75,0.77,3.66,0.11,17.47,21.82,0.32,0.0508294402670326,0.0334,1,5
223,-1,51.03,1.549,4.97,0.313,6.789,0.101,14.27,21.511,0.548,0.135708058354927,0.007265888789161,1,4
224,1,51.807,1.583,1.97,0.046,5.502,0.068,14.49,23.547,0.558,0.0763430128550198,0.0121463536049116,1,0
