,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
1753,1,50.774,1.153,3.168,0.532,5.325,0.032,14.247,23.793,0.441,0.109756574829038,0.0214114568287253,1,0
1754,1,51.905,1.424,1.875,0.032,6.197,0.128,14.21,24.087,0.498,0.0786259319529581,0.0256901067902478,1,0
1755,1,53.15,0.963,0.452,0.027,6.842,0.068,14.3,22.731,0.755,0.0163825006541642,0.00193935119887165,1,0
1756,1,52.381,1.011,2.342,0.223,6.934,0.129,14.285,21.968,0.432,0.0582450750653869,0.0251795595096018,1,6
1757,1,50.584,1.966,2.845,0.001,6.591,0.099,13.498,23.716,0.549,0.112931360377714,0.0178508462623413,0,0
1758,-1,52.524,0.841,2.606,0.448,6.636,0.152,15.456,20.708,0.263,0.0620083919931627,0.0017220454620002,1,3
1759,-1,51.136,1.185,3.457,0.014,7.121,0.168,14.441,21.885,0.389,0.101830107476839,1e-07,1,6
1760,-1,50.179,1.86,4.226,0.044,7.82,0.152,13.62,22.163,0.423,0.139567065020608,0.00468406205923836,0,4
1761,1,51.056,1.114,2.861,0.19,8.11,0.16,14.135,21.549,0.397,0.0921980659518271,0.0224242927072098,1,6
1762,1,50.694,1.258,3.695,0.166,7.475,0.169,14.507,20.63,0.406,0.105775183729972,0.00983875271604468,1,6
1763,-1,50.986,0.878,3.352,0.082,7.242,0.115,14.697,21.588,0.391,0.0992201334531497,0.00383686739499414,1,6
1764,1,50.453,1.047,7.545,0.001,6.45,0.1,14.416,17.231,1.661,0.141820652884914,0.0104775337497481,0,2
1765,1,52.346,0.916,2.864,0.285,7.274,0.171,15.79,20.253,0.247,0.0759457770164387,0.00223171468869635,1,3
1766,1,51.771,0.817,3.611,0.552,8.058,0.123,17.309,16.903,0.401,0.093765452198596,0.010612532742293,1,2
1767,1,52.306,1.142,1.434,0.911,3.579,0.098,15.892,23.213,0.437,0.0629139670918448,0.00218647464924653,1,5
1768,-1,49.592,1.447,5.614,0.074,8.067,0.127,13.84,19.981,0.622,0.150353891317887,0.00486357667428627,0,4
1769,1,49.247,1.859,3.72,0.125,6.633,0.031,13.576,23.992,0.511,0.153939149231566,0.0372608045807633,0,1
1770,1,52.293,0.828,2.753,0.269,7.073,0.142,16.612,19.867,0.282,0.0803461475292695,0.00386694875411378,1,3
